log_step,val_loss,val_accuracy,grad_alignment
1,0.6936495876312256,0.521,
2,0.6936975419521332,0.509,
3,0.6879739224910736,0.5529999999999999,
4,0.6887805098295212,0.5419999999999999,
5,0.6877408665418625,0.5429999999999999,
6,0.6809520196914672,0.55,
7,0.6890594959259033,0.5359999999999999,
8,0.6859475946426392,0.555,
9,0.6835768574476242,0.574,
10,0.6856653344631195,0.551,
11,0.6887801146507263,0.543,
12,0.6891996562480927,0.5529999999999999,
13,0.6839999216794967,0.5269999999999999,
14,0.6861147546768188,0.547,
15,0.6830826008319855,0.578,
16,0.6767625802755356,0.5870000000000001,
17,0.6753391647338867,0.583,
18,0.6761795860528946,0.568,
19,0.6763033539056778,0.598,
20,0.6822309577465058,0.556,
21,0.681614140868187,0.5439999999999999,
22,0.6766989409923554,0.568,
23,0.6721492075920105,0.584,
24,0.6755734360218049,0.569,
25,0.6754006457328796,0.575,
26,0.6698705053329468,0.588,
27,0.6762313163280487,0.5680000000000001,
28,0.6788850176334381,0.579,
29,0.6805158436298371,0.5670000000000001,
30,0.6761196309328079,0.5830000000000001,
31,0.6774420142173767,0.559,
32,0.6776162981987,0.549,
33,0.6759622949361801,0.5740000000000001,
34,0.6768197983503341,0.5760000000000001,
35,0.6800364232063294,0.5680000000000001,
36,0.680341848731041,0.565,
37,0.6767318081855774,0.568,
38,0.680304402410984,0.5660000000000001,
39,0.6773827683925628,0.575,
40,0.6743487876653671,0.573,
41,0.6719576901197434,0.599,
42,0.6745463860034943,0.5630000000000001,
43,0.6751550334692001,0.575,
44,0.6663879752159119,0.602,
45,0.6706617844104766,0.596,
46,0.6783345139026642,0.5790000000000001,
47,0.674276447892189,0.582,
48,0.6711064547300338,0.586,
49,0.6767593097686767,0.568,
50,0.6805573588609696,0.565,
51,0.6759503093361855,0.5660000000000001,
52,0.6813168573379517,0.561,
53,0.6854179599881172,0.547,
54,0.6768005841970444,0.575,
55,0.6747589856386185,0.571,
56,0.6828090155124664,0.55,
57,0.6831778031587601,0.561,
58,0.6742123499512672,0.584,
59,0.6782611939311027,0.5830000000000001,
60,0.6785494703054428,0.559,
61,0.6684352087974549,0.597,
62,0.6722261798381806,0.579,
63,0.6687476226687431,0.59,
64,0.6726553618907929,0.567,
65,0.6798316529393196,0.556,
66,0.6774438327550888,0.575,
67,0.6779458719491959,0.584,
68,0.6772312372922897,0.5690000000000001,
69,0.6795001059770585,0.5700000000000001,
70,0.6807075470685959,0.55,
71,0.685199865102768,0.5569999999999999,
72,0.6810473093390464,0.5579999999999999,
73,0.6811704033613205,0.552,
74,0.685147231221199,0.5609999999999999,
75,0.6802601754665375,0.5630000000000001,
76,0.6857824259996415,0.5609999999999999,
77,0.6781362628936768,0.565,
78,0.6754800879955292,0.5710000000000001,
79,0.6779024803638458,0.569,
80,0.6731777775287628,0.575,
81,0.6795450061559677,0.5880000000000001,
82,0.6737145999073982,0.5770000000000001,
83,0.6805260354280471,0.56,
84,0.6837208253145218,0.56,
85,0.682714028954506,0.5589999999999999,
86,0.6787988942861557,0.5710000000000001,
87,0.6817047888040543,0.5670000000000001,
88,0.684304079413414,0.565,
89,0.6797590947151184,0.56,
90,0.6798265653848649,0.561,
91,0.6780416613817215,0.585,
92,0.6781129205226898,0.574,
93,0.6779126840829849,0.576,
94,0.681930480003357,0.5589999999999999,
95,0.6817163336277008,0.559,
96,0.6793701481819153,0.5780000000000001,
97,0.6805594661831855,0.552,
98,0.6806372570991516,0.555,
99,0.6789323893189431,0.578,
100,0.6747711575031281,0.569,
101,0.6763134312629699,0.59,
102,0.676884173154831,0.5690000000000001,
103,0.6756090974807739,0.561,
104,0.6761126121878624,0.5770000000000001,
105,0.6742617291212082,0.5760000000000001,
106,0.6785949665307999,0.5670000000000001,
107,0.6826115041971207,0.56,
108,0.6890722596645356,0.54,
109,0.6793145430088043,0.583,
110,0.6763745015859604,0.58,
111,0.6816350203752518,0.5680000000000001,
112,0.6806012284755707,0.558,
113,0.6787426990270614,0.5790000000000001,
114,0.6805208641290664,0.578,
115,0.6791107147932053,0.5670000000000001,
116,0.6775112521648406,0.564,
117,0.6812590402364731,0.5700000000000001,
118,0.6799271911382675,0.5519999999999999,
119,0.6798386710882187,0.535,
120,0.6793849769234658,0.556,
121,0.67910147190094,0.561,
122,0.6787466660141945,0.5760000000000001,
123,0.6767812567949295,0.562,
124,0.675296682715416,0.5740000000000001,
125,0.6736145281791687,0.5730000000000001,
126,0.6816144800186157,0.562,
127,0.6777607023715972,0.5720000000000001,
128,0.6761714160442353,0.568,
129,0.6826408535242081,0.563,
130,0.6807887241244316,0.56,
131,0.677277420759201,0.57,
132,0.6828955715894699,0.567,
133,0.683175852894783,0.564,
134,0.682543825507164,0.5569999999999999,
135,0.6809217917919159,0.572,
136,0.6825725814700127,0.553,
137,0.6734618669748307,0.5800000000000001,
138,0.6752134990692139,0.5710000000000001,
139,0.6789896875619889,0.554,
140,0.6824073952436447,0.5680000000000001,
141,0.6784002637863159,0.5660000000000001,
142,0.6788621246814728,0.5710000000000001,
143,0.678364233970642,0.5640000000000001,
144,0.6751158875226975,0.596,
145,0.6786665123701096,0.5730000000000001,
146,0.6749127745628357,0.582,
147,0.6811353242397309,0.5559999999999999,
148,0.6799838918447495,0.5559999999999998,
149,0.6855512648820877,0.575,
150,0.6752604180574417,0.579,
151,0.6794902437925339,0.573,
152,0.6877070814371109,0.5720000000000001,
153,0.6851011860370636,0.5469999999999999,
154,0.6881478363275528,0.55,
155,0.6834822976589203,0.574,
156,0.6774591398239136,0.5660000000000001,
157,0.682129544019699,0.56,
158,0.6837083113193512,0.5419999999999999,
159,0.678468798995018,0.556,
160,0.6834576147794723,0.544,
161,0.683895211815834,0.5720000000000001,
162,0.6811163756251335,0.555,
163,0.6839876163005829,0.563,
164,0.6865321856737137,0.547,
165,0.6769729155302048,0.5770000000000001,
166,0.6816693985462189,0.557,
167,0.6834995424747468,0.5579999999999999,
168,0.694771226644516,0.5369999999999999,
169,0.6902881455421448,0.5489999999999999,
170,0.6793419152498246,0.5599999999999999,
171,0.6860000449419021,0.5640000000000001,
172,0.685702269077301,0.554,
173,0.6857775703072548,0.56,
174,0.6837300783395768,0.5670000000000001,
175,0.6803907305002213,0.568,
176,0.6843030059337616,0.561,
177,0.6792470455169678,0.556,
178,0.6755195277929306,0.574,
179,0.6789686965942383,0.569,
180,0.6898492109775544,0.55,
181,0.6799976450204849,0.567,
182,0.6749932822585106,0.5840000000000001,
183,0.6822322475910186,0.575,
184,0.6773494333028793,0.5700000000000001,
185,0.6836455059051514,0.552,
186,0.6871492081880569,0.556,
187,0.6800673645734787,0.5730000000000001,
188,0.6911142253875733,0.552,
189,0.6900411987304688,0.5489999999999999,
190,0.6852094581723214,0.548,
191,0.6802074652910233,0.574,
192,0.6869740664958954,0.55,
193,0.6830199128389358,0.553,
194,0.6843018639087677,0.5589999999999999,
195,0.6823066020011902,0.565,
196,0.6826602935791015,0.5549999999999999,
197,0.6790547001361847,0.575,
198,0.6930959290266037,0.5419999999999999,
199,0.6796520096063614,0.5680000000000001,
200,0.6925788551568985,0.549,
201,0.6929937255382538,0.5429999999999999,
202,0.7004321181774139,0.5169999999999999,
203,0.6948988956212997,0.537,
204,0.6878793710470199,0.542,
205,0.6836901104450226,0.548,
206,0.6859640437364578,0.5489999999999999,
207,0.6892880129814148,0.544,
208,0.6874185830354691,0.5660000000000001,
209,0.6825475564599037,0.548,
210,0.6842127150297165,0.5539999999999999,
211,0.6920497906208039,0.534,
212,0.6823965501785278,0.5690000000000001,
213,0.6929113292694091,0.561,
214,0.6845003724098205,0.575,
215,0.6928540381789208,0.5489999999999999,
216,0.6931625759601593,0.5299999999999999,
217,0.695690450668335,0.544,
218,0.6857759606838226,0.5579999999999999,
219,0.6893144971132279,0.5529999999999999,
220,0.6833731666207313,0.5539999999999999,
221,0.6834997171163559,0.5519999999999999,
222,0.6859097707271576,0.541,
223,0.6901317465305329,0.54,
224,0.6926799905300141,0.544,
225,0.6775883042812347,0.571,
